日期,平台,站点,店铺,广告活动,广告组,关键词,匹配方式,SKU,曝光,点击,花费,订单数,销量,广告销售额,币种
2026-08-17,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,16278,488,600.43,15,15,2985,MXN
2026-08-17,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,9560,293,368.01,9,9,1791,MXN
2026-08-17,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,12017,273,1514.63,11,11,7139,MXN
2026-08-17,Mercado Libre,MX,主店,ML_MX_宠物_自动,组2-长尾词,宠物智能喂食器 推荐,短语,W009-DDJ,6669,166,928.32,5,5,3245,MXN
2026-08-17,Amazon,MX,主店,AM_MX_车载_手动,组1-核心词,车载手机支架,精准,BS-002-BK,7774,232,251.51,5,5,1295,MXN
2026-08-17,Amazon,MX,主店,AM_MX_车载_手动,组2-长尾词,车载手机支架 推荐,短语,BS-002-BK,4861,134,154.15,2,2,518,MXN
2026-08-17,TikTok Shop,MX,主店,TT_MX_放量_厨房,组1-核心词,便携榨汁杯,精准,H-007,6657,138,606.74,2,2,858,MXN
2026-08-17,TikTok Shop,MX,主店,TT_MX_放量_厨房,组2-长尾词,便携榨汁杯 推荐,短语,H-007,3990,84,371.87,1,1,429,MXN
2026-08-18,Amazon,MX,主店,AM_MX_支架_精准,组1-核心词,磁吸手机支架,精准,A-001,14957,337,383.59,7,7,1393,MXN
2026-08-18,Amazon,MX,主店,AM_MX_支架_精准,组2-长尾词,磁吸手机支架 推荐,短语,A-001,9291,204,235.11,5,5,995,MXN
2026-08-18,Mercado Libre,MX,主店,ML_MX_宠物_自动,组1-核心词,宠物智能喂食器,精准,W009-DDJ,12163,323,1640.04,12,13,8437,MXN
